dev,ino,size_bytes
2053,2495392,2130944
2053,2495393,1282048
2053,2495394,26624
2053,2495395,2177024
2053,2495396,3565568
2053,2495397,890880
2053,2495398,547840
2053,2495399,2916352
2053,2495400,203776
2053,2495401,1153024
2053,2495402,492544
2053,2495403,1647616
2053,2495404,4164608
2053,2495405,1875968
2053,2495406,2873344
2053,2495407,1981440
2053,2495408,1562624
2053,2495409,4905984
2053,2495410,3819520
2053,2495411,4663296
2053,2495412,2040832
2053,2495413,2515968
2053,2495414,1457152
2053,2495415,1973248
2053,2495416,1059840
2053,2495417,4184064
2053,2495418,1172480
2053,2495419,2818048
2053,2495420,1996800
2053,2495421,4802560
2053,2495422,1997824
2053,2495423,2824192
2053,2495424,883712
2053,2495425,3134464
2053,2495426,704512
2053,2495427,4850688
2053,2495428,2351104
2053,2495429,1635328
2053,2495430,2296832
2053,2495431,3089408
2053,2495432,1628160
2053,2495433,3529728
2053,2495434,1270784
2053,2495435,4104192
2053,2495436,1703936
2053,2495437,4285440
2053,2495438,1580032
2053,2495439,911360
2053,2495440,1667072
2053,2495441,2846720
2053,2495442,1883136
2053,2495443,1367040
2053,2495444,3379200
2053,2495445,975872
2053,2495446,3932160
2053,2495447,678912
2053,2495448,165888
2053,2495449,3100672
2053,2495450,2635776
2053,2495451,2589696
2053,2495452,5006336
2053,2495453,167936
2053,2495454,4642816
2053,2495455,1078272
2053,2495456,2887680
2053,2495457,3010560
2053,2495458,3528704
2053,2495459,2536448
2053,2495460,3341312
2053,2495461,614400
2053,2495462,2348032
2053,2495463,4169728
2053,2495464,3287040
2053,2495465,420864
2053,2495466,3701760
2053,2495467,2195456
2053,2495468,2449408
2053,2495469,2899968
2053,2495470,3522560
2053,2495471,1827840
2053,2495472,4879360
2053,2495473,811008
2053,2495474,2786304
2053,2495475,1119232
2053,2495476,2285568
2053,2495477,2638848
2053,2495478,1338368
2053,2495479,4156416
2053,2495480,843776
2053,2495481,3332096
2053,2495482,3532800
2053,2495483,771072
2053,2495484,3800064
2053,2495485,1299456
2053,2495486,1175552
2053,2495487,2661376
2053,2495488,2432000
2053,2495489,885760
2053,2495490,4997120
2053,2495491,298288
2053,2495492,11802
2053,2495494,240
2053,2495495,32
2053,2495496,6400
2053,2495497,176956
2053,2495498,6671
2053,2495499,6710
2053,2495500,664
2053,2495501,7291
